class_0,class_1,text
0,1,repost january 13 2004 better fit title
0,1,play audio video scrolling black white
0,1,try return player waste hours calling apex tech support run player car try simple troubleshooting ideas first
0,1,picture hopefully still remote control
1,0,using remote control press ip button located bottom right corner remote
1,0,ip button switches tv display interlace progressive
0,1,dont get video back run player car
1,0,press pn button located bottom right corner remote
1,0,pressing pn able get good picture screen
0,1,done research experimenting remote apex ad2500 seemed lost video signal
1,0,im happier person discovering ip button
0,1,button probably accidentally pushed cause black screen first place
1,0,practically plays almost everything give
1,0,ive player years still performs nicely exception occasional wwhhhrrr sound motor
1,0,would recommend buying one
1,0,ive owned dvd players since 1998 far nicest one many ways
1,0,fastforward rewind work much smoothly consistently models ive
1,0,plays alternate video formats vcds svcds cvds well
1,0,amazoncom great price go wrong
1,0,strengths well listed reviewers
1,0,got buy reviewer said would play dvdrs fill files mp3s
1,0,sure
1,0,thats rare valuable feature
1,0,dvd burner computer zillion mp3s lot nicer access 45 gb time dvdr 07 gb time cdr
1,0,saved buy expensive optical cable already coax cable
1,0,doublespeed 2x forward speed still plays mp3s sound pitchcorrected smooth twice fast
0,1,wish would movies thats one rare cool feature forgo
0,1,weaknesses minor feel layout remote control soso doesnt show complete filenames mp3s really long names must cycle every zoom setting 2x 3x 4x 12x etc
1,0,youre bargain hunter want great feature set rockbottom price highly recommend model
1,0,update finish mirror silver like
0,1,doesnt play new disney movies
0,1,many disney movies dont play dvd player
0,1,spoke rep apex told new format used wont able view disney movies made last couple months
0,1,poor quality problem duallayer dvds
0,1,player problem duallayer dvds alias season season money get better quality player
1,0,player works looks great get dvds play
0,1,know saying get pay stage game dvd players must better quality excuse
0,1,never purchase apex
0,1,customer service technical support overloaded nonresponsive tells quality products willingness stand behind
0,1,pass player never believe reviews product right christmas
0,1,destroyed several dvds cds
0,1,dvds would stop playing middle even read
0,1,thought player started checking discs find apex 2600 actually ruining media
0,1,player worth price recommend dont purchase
0,1,intend contact company ive read
0,1,got screwed fifty bucks
0,1,apex doesnt answer phone
0,1,sigh
0,1,way contact customer service
0,1,bad quality
1,0,great value
1,0,bought apex 2600 dvd player christmas got good reviews good value money variety different sites
1,0,took fathers house play tom jones concert dvd loved player much gave
1,0,need buy another one
1,0,used frequently problems
1,0,always research electronics online buy even within company models better others
1,0,liked one enough buy another
1,0,dad also apex tv another great value money
1,0,great quality picture features
0,1,three aint good
0,1,thought id weigh stats
1,0,ive bought apex dvd players
0,1,play everything died shortly getting
0,1,back using nice machines consider quality pretty low
0,1,buy better known brand name
0,1,item broke two weeks gave kids christmas
0,1,tried contact apex return missed amazon return period took months get customer service dept
0,1,still trying resolve four months later
0,1,unfortunately turns disposable type
0,1,save money long run buy something decent instead buying cheap every month
1,0,apex 2600 steady performer
1,0,bought mine december 2003 real problems
0,1,tend run quite hot given lots room air circulation
0,1,also seem strong new electronics smell time
0,1,thing experience problem player freezing playing able clear opening blowing canned air
1,0,problem vanished first month assume temporary dust issue
1,0,fact model would play jpeg slideshows big plus visual artist discovered accident mentioned anywhere literature play mpeg1 files regular cdr data disk without vcd formatting
0,1,true stand end also easy knock way
0,1,also didnt like way displayed information way screen zoom mode
0,1,spent considerable time professional video gear find onscreen displays annoying
1,0,seems like people trouble mine run well would recommend considering dvd player purchase
1,0,would like give 35 stars instead gave run well time owned
0,1,buy piece junk
0,1,purchased unit months back think unit knew warrenty expires
0,1,hear sound
0,1,think get pay stands true
0,1,nice paperweight
0,1,player months able see total dvds frustration aggrivation getting player job
0,1,emailed customer service department thing player done consistantly use enought electricity keep red led burning
0,1,favor save money get something better quality least works
0,1,worst piece electronics ever bought
0,1,could give negative rating would
0,1,confirm customers said crap
0,1,tech support apex literally nonexistent
0,1,amazon customers big favor dont carry item give refunds
0,1,fair warning buy
0,1,bought model christmas presents neither one work
0,1,one stopped working february march
0,1,problems
0,1,dvd player work properly
0,1,player usually plays dvds occasional problems recognizing dvd stopping particular point movie every time played able access certain special features rental dvd
0,1,happened several different dvds occasionally keep trying something work work one time
0,1,discovered problems tried contact apex fkor months never got touch themthe customer support telephone number always busy answer web customer support
1,0,ok 2nd dvd player
0,1,unfortunately cant play dvd
0,1,unfortunately bought player ps2 couldnt play dvds player cant play everything
1,0,purchased christmas gift husband
0,1,didnt get use month sad know
0,1,went use sound picture
0,1,though past deadline returns days contacted amazon right away pleaded help
1,0,authorized late return hopefully giving apex heck
0,1,hate apex love amazon tell everyone
0,1,buy player
0,1,knows many uses youll get craps probably
0,1,weve purchased universal remotes farall claiming work apex dvd players none worked
1,0,anybody knows remote work thisid love hear
0,1,poor customer service
0,1,return remote product appeared defective
0,1,took months repeated followup get replaced
0,1,would inclined purchase apex product
0,1,piece junk
0,1,door broke month
0,1,unit took forever since begiining recognize play discs
0,1,months use longer recognizes anything
0,1,forget
0,1,quote bart craptacular
0,1,months stoppped playing higher number scenes dvds
0,1,engineer embarrassed engineering profession crap released sale
0,1,poor quality
0,1,used month
0,1,sends discoutinous signals tv tv pictures one moment white noise moment
0,1,thing dont like 2600 makes color look saturated
0,1,maybe good tvs good color settings good tv already vibrant pictures
0,1,returned failing play dvds
1,0,purchased ad2600 feeling comfortable reviews read amazon
0,1,soon lifted unit box questioned judgement
0,1,entire unit poorly crafted
0,1,sharp screw tips underside unit coming inside obviously used anchor internal control board
1,0,dvds trying fairly new great condition
0,1,dvd player wouldt recognize
0,1,would spin read spin show display disc
0,1,ended sending unit back amazon
1,0,love aiff progressive scan feature
1,0,would gotten stars baby come features upgrade firmware able play divx avi videos
1,0,4999 go get one
0,1,customer service nonexistant
0,1,even used new dvd player already disapointed
0,1,trying week contact apex
0,1,respond emails promised turnaround time 24 hours phone line constantly busy
1,0,buy accually didnt buy apex ad2600 amazon reviews found helped purchase
1,0,owned apex ad3201 close years love deck
0,1,however ad2600 doesnt feature
1,0,cool thing ad2600 plays alot different file like mp3 wma cds jpeg kodak picture cds dvds dvd rs
1,0,find great feature
1,0,ive tried playing discs play great
1,0,money apex machines good features
1,0,low profile space saving design looks nice
1,0,find apex ad2600 great buy
0,1,know pieces junk
0,1,less month later screen freezes eventually shows disc
1,0,best player buck
1,0,surprised find could dvd player play mpeg2 format allowed stack movies dvd also able play vob files created smart ripper
1,0,loved slim design
0,1,black white month use
0,1,unit working fine 1st month half color signal disappeared
0,1,apex still responded email describing problem almost week customer service line always busy
1,0,bang buck
1,0,plays backups everything else put without hick
1,0,audio excellent
1,0,price excellent buy
1,0,pleased apex ad2600it plays anything put drawer
1,0,yet tried photo show capability im thinking probably work well based success mentioned disks
1,0,want mention certainly worthwhile read instruction manual comes unit
0,1,comments ive read problems dvd player seem stem pushing incorrect buttons dvd remotefor instance pushing button play pal european type movies ntsc usa type movie disk disk tray
1,0,read instructions well shouldnt problems dvd unit
1,0,seems work well dont anticipate problems
1,0,bottom line price dont think go wrong purchasing dvd player
1,0,excellent second dvd first dvd hdtv ready tv
1,0,wow
1,0,comes standard rca jacks output along svideo output svideo cable included must purchased seperately also component video outputs
1,0,progressive scan option turned easily button remote control one simplest easiest remote controls ever seen used
1,0,also apex ad 1201 dvd player problems since purchased almost 12 years ago
1,0,one big difference 1201 2600 models 2600 model virtually silent
1,0,friends mine apex tv sets also pleased
1,0,would hesitate purchase uncertain brand name
0,1,save money
0,1,dvd play basicly junk
0,1,wont play movies
0,1,keeps coming disk errors
0,1,tried called apex cust service help
0,1,dont waste money
0,1,mine weeks old chucked trash belongs
0,1,might think saving money buying apex long run spend
0,1,lasted less six months
1,0,spend money well worth
1,0,dvd player
1,0,best dvd player ive purchased
0,1,problems player id suggest checking owners manual get right setting displaying wrong mode picture etc
1,0,player worked flawlessly price cant go wrong
1,0,80 features get spending 100 sony panasonic
0,1,said
1,0,enjoy
0,1,apex ad2600 known capadabilty problem
0,1,sent new ad2600 problem
0,1,call apex customer service told known problem model playing disney movies problem im stuck new dvd player wont play kids disney movies
1,0,value money
0,1,bought dvd player mainly old sharp dvd player could play dvds store rent watch using pcs dvdrom player
1,0,well apex dvd player turned great
1,0,plays basically every media ive tested far even old vcd ripped years ago rental dvd couldnt played old 200 sharp player
1,0,say im also pretty impressed user interface playing jpeg mp3 mpeg files stored cdrs dvds
1,0,almost like media player file manager built dvd player
1,0,want high expectations apex player price definitely working much better would expect expensive highend player
1,0,ask 40 dvd player
1,0,guess im lucky get good working unit
0,1,hope unit lasts ive days
1,0,slim formfactor together mirrorlike front panel sure makes player look cool pricey
0,1,one bad thing though find remotecontrol bit flimsy predict probably die player
1,0,finally amazons free shipping really getting good took working days player reach
0,1,poor quality dvd player
0,1,first one wouldnt work start
0,1,second lasted two weeks video went
0,1,still trying resolve problem second one
0,1,tried several times contact apex digital online support site telephone line wont answer emails telephone line always busy
0,1,get paid
0,1,25 dvds ive played ithave problem watching movie picture freeze dvd still plays eventualy picture kicks back skipping moments
0,1,usually skip next chapter avoid
0,1,annoying
1,0,connected old television set via composite video analog audio outputs
0,1,neither picture sound
0,1,connecting outputs video card computer sound still picture
0,1,trouble shooting section users manual suggesting correct secure connections doesnt help
1,0,searched internet found one tip solved problem press ip button remote control
0,1,makes dvd player switch interlace mode progressive scan mode
0,1,obviously composite video output different analog audio signals progressive scan mode
1,0,would rated five stars poor manual
0,1,people video issues
0,1,think people complaining video due hitting wrong button either pn pal ntsc ip set progressive scan
0,1,another stupid move
0,1,buyer beware
0,1,purchased christmas gift 124 03 worked 1226 19 time picture failed completely see negative reviewsmy unit wasnt one happened
0,1,also registered unit online posted two messages apex support person cant possibly one
0,1,neither message answered ask 24 hours replying ive waiting 27 days
0,1,finally returned unit company along copies messages return info
0,1,let quote customer service rep one authorized apex service locations state service apex tvs dvd players send wouldnt count ever seeing replacement
0,1,barely worked
0,1,read dvds 10 time otherwise would get disc screen
0,1,got dvd player gift send back
0,1,amazon supposed send another one didnt sent gift certificate instead im guessing price gone unit since december
0,1,problems reading dvds
1,0,also trouble reading svcds created vbr mp3 cds old apex ad1200 trouble
1,0,output component connections looks good nonhd tv
0,1,would spin stop display disc
0,1,gripe incredibly crappy remote worse cheaper apex units
0,1,reason made navigation buttons one button ring around enter play button
0,1,press buttons hard frequently end pressing enter meant scroll
0,1,also reason picture looks washed svideo lots color bleeding compared component connection much perceptible difference 27 tv
1,0,pretty good
0,1,ok first dvd player know
1,0,plays
1,0,great dvd player
1,0,easy use small form factor looks good boot
1,0,happy
0,1,customer service nonexistent
1,0,figured great first product one features 600 would buy one
0,1,mistake
