class_0,class_1,text
0,1,troubleshooting ad2500 ad2600 picture scrolling bw
0,1,repost january 13 2004 better fit title
0,1,apex dvd player play dvd audio without video
0,1,try return player waste hours calling apex tech support run player car try simple troubleshooting ideas first
0,1,tossed window need fetch
1,0,using remote control press ip button located bottom right corner remote
1,0,ip button switches tv display interlace progressive
0,1,doesnt bring back picture try pressing button without playing dvd
0,1,dont get video back run player car
0,1,picture scrolling bw need remote control better get dog burries backyard
1,0,pn button switches dvd players video output signal pal ntsc
1,0,pressing pn able get good picture screen
1,0,problems go hope helped continue enjoy apex dvd player troubleshooting tips
0,1,button probably accidentally pushed cause black screen first place
1,0,youre looking opinion apex dvd player love
1,0,practically plays almost everything give
1,0,ive player years still performs nicely exception occasional wwhhhrrr sound motor
1,0,price well spent investment
1,0,would recommend buying one
1,0,incredibe price performance
1,0,ive owned dvd players since 1998 far nicest one many ways
1,0,sleek looking good front panel button layout great feature set
1,0,plays alternate video formats vcds svcds cvds well
1,0,amazoncom great price go wrong
1,0,ive bought one den buy 2nd one bedroom
1,0,strengths well listed reviewers
1,0,got buy reviewer said would play dvdrs fill files mp3s
1,0,sure
1,0,thats rare valuable feature
1,0,dvd burner computer zillion mp3s lot nicer access 45 gb time dvdr 07 gb time cdr
1,0,another nice thing unit optical coax digital audio outputs though latter mentioned literature id scanned buying
1,0,saved buy expensive optical cable already coax cable
1,0,doublespeed 2x forward speed still plays mp3s sound pitchcorrected smooth twice fast
0,1,weaknesses minor feel layout remote control soso doesnt show complete filenames mp3s really long names must cycle every zoom setting 2x 3x 4x 12x etc
1,0,getting back normal size sorry im ignorant way get back 1x quickly
1,0,youre bargain hunter want great feature set rockbottom price highly recommend model
1,0,update finish mirror silver like
0,1,doesnt play new disney movies
0,1,many disney movies dont play dvd player
0,1,spoke rep apex told new format used wont able view disney movies made last couple months
0,1,poor quality problem duallayer dvds
0,1,player problem duallayer dvds alias season season money get better quality player
0,1,know saying get pay stage game dvd players must better quality excuse
0,1,never purchase apex
0,1,customer service technical support overloaded nonresponsive tells quality products willingness stand behind
0,1,pass player never believe reviews product right christmas
0,1,destroyed several dvds cds
1,0,first weeks player everything expected affordable multiformat dvd player stylish slim case advertised
0,1,dvds would stop playing middle even read
0,1,new cds almost always began skipping plays
0,1,thought player started checking discs find apex 2600 actually ruining media
0,1,funny little ridges dvd look like slice tree trunk
0,1,player worth price recommend dont purchase
0,1,intend contact company ive read
0,1,got screwed fifty bucks
0,1,sigh
0,1,customer service sucks
0,1,way contact customer service
0,1,bad quality
1,0,great value
1,0,bought apex 2600 dvd player christmas got good reviews good value money variety different sites
1,0,took fathers house play tom jones concert dvd loved player much gave
1,0,need buy another one
1,0,used frequently problems
1,0,always research electronics online buy even within company models better others
1,0,liked one enough buy another
1,0,great quality picture features
0,1,three aint good
0,1,thought id weigh stats
0,1,play everything died shortly getting
0,1,buy better known brand name
0,1,item broke two weeks gave kids christmas
0,1,door would close
0,1,tried contact apex return missed amazon return period took months get customer service dept
0,1,still trying resolve four months later
0,1,piece crap looks great loaded features
0,1,unfortunately turns disposable type
0,1,problems since first day playing dvds finally less 60 days would recognize anything pop
1,0,ive problems
0,1,tend run quite hot given lots room air circulation
0,1,also seem strong new electronics smell time
0,1,thing experience problem player freezing playing able clear opening blowing canned air
1,0,fact model would play jpeg slideshows big plus visual artist discovered accident mentioned anywhere literature play mpeg1 files regular cdr data disk without vcd formatting
0,1,remote okay fan remotes tiny buttons
1,0,especially like commonly used buttons play pause stop larger conveniently placed
0,1,true stand end also easy knock way
0,1,zoom goes magnification nice always display zoom size onequarter way top screen interferes viewing settings
0,1,spent considerable time professional video gear find onscreen displays annoying
1,0,model come price since purchased mine
1,0,seems like people trouble mine run well would recommend considering dvd player purchase
0,1,possible problems weighed bangforthebuck factor along fact companies like apex seldom good aftersale support
1,0,would like give 35 stars instead gave run well time owned
0,1,buy piece junk
0,1,purchased unit months back think unit knew warrenty expires
0,1,90 days show picture matter
0,1,hear sound
0,1,changed video cables tried connecting tv input1 input2 help
0,1,think get pay stands true
0,1,nice paperweight
0,1,player months able see total dvds frustration aggrivation getting player job
0,1,tried many times get hold apex doesnt seem answer emails telephone number constantly busy believe one lonely customer service rep probably extremely overworked
0,1,emailed customer service department thing player done consistantly use enought electricity keep red led burning
0,1,favor save money get something better quality least works
0,1,worst piece electronics ever bought
0,1,could give negative rating would
0,1,surprised amazon still carries continued problems
0,1,wont play lot discs
0,1,confirm customers said crap
0,1,movies played yesterday wont play today
0,1,tech support apex literally nonexistent
0,1,amazon customers big favor dont carry item give refunds
0,1,recall product
0,1,fair warning buy
0,1,repeat dont wast money
0,1,dont buy
0,1,bought model christmas presents neither one work
0,1,embarassing getting phone calls family members telling dvd player gave less months ago longer working
0,1,amazon working refund money reminded past 30 day return policy courtesy return
0,1,great experience amazon probably buy electronics avoid future return problems
0,1,dvd player work properly
0,1,happened several different dvds occasionally keep trying something work work one time
0,1,discovered problems tried contact apex fkor months never got touch themthe customer support telephone number always busy answer web customer support
1,0,ok 2nd dvd player
1,0,nothing broken plays dvds
0,1,unfortunately cant play dvd
0,1,dvds far refuses play certain episodes problems others dvd
0,1,unfortunately bought player ps2 couldnt play dvds player cant play everything
0,1,another person problem picture one use
1,0,purchased christmas gift husband
1,0,tried christmas night worked great
1,0,even viewed cds full jpgs
0,1,didnt get use month sad know
0,1,saw reviews said thing also saw customer service stinks
0,1,though past deadline returns days contacted amazon right away pleaded help
1,0,authorized late return hopefully giving apex heck
0,1,hate apex love amazon tell everyone
0,1,knows many uses youll get craps probably
0,1,frustrating hope never lose break remote player
0,1,weve purchased universal remotes farall claiming work apex dvd players none worked
0,1,called customer service basically told either keep buying univ
0,1,remotes try buy replacement remote 23 almost half paid whole player
1,0,anybody knows remote work thisid love hear
